lsoa11cd,lsoa11nm,ladcd,ladnm,ladnmw,wimd_2019,FID
W01000107,Porthmadog - Tremadog,W06000002,Gwynedd,Gwynedd,1082,53
W01000108,Pwllheli North,W06000002,Gwynedd,Gwynedd,1078,54
W01000109,Pwllheli South,W06000002,Gwynedd,Gwynedd,1042,55
W01000110,Seiont 1,W06000002,Gwynedd,Gwynedd,1204,56
W01000111,Seiont 2,W06000002,Gwynedd,Gwynedd,650,57
W01000112,Talysarn,W06000002,Gwynedd,Gwynedd,569,58
W01000113,Teigl,W06000002,Gwynedd,Gwynedd,862,59
W01000114,Trawsfynydd,W06000002,Gwynedd,Gwynedd,1119,60
W01000115,Tregarth & Mynydd Llandygai,W06000002,Gwynedd,Gwynedd,1187,61
W01000116,Tywyn 1,W06000002,Gwynedd,Gwynedd,1410,62
W01000117,Tywyn 2,W06000002,Gwynedd,Gwynedd,747,63
W01000118,Waunfawr,W06000002,Gwynedd,Gwynedd,1006,64
W01000119,Y Felinheli,W06000002,Gwynedd,Gwynedd,1564,65
W01000121,Betws-y-Coed,W06000003,Conwy,Conwy,1165,66
W01000122,Betws yn Rhos,W06000003,Conwy,Conwy,1126,67
W01000123,Bryn,W06000003,Conwy,Conwy,902,68
W01000124,Caerhun,W06000003,Conwy,Conwy,1251,69
W01000125,Capelulo,W06000003,Conwy,Conwy,1293,70
W01000126,Colwyn 1,W06000003,Conwy,Conwy,1466,71
W01000127,Colwyn 2,W06000003,Conwy,Conwy,190,72
W01000128,Colwyn 3,W06000003,Conwy,Conwy,1159,73
W01000129,Conwy 1,W06000003,Conwy,Conwy,711,74
W01000130,Conwy 2,W06000003,Conwy,Conwy,1688,75
W01000131,Conwy 3,W06000003,Conwy,Conwy,1632,76
W01000132,Craig-y-Don 1,W06000003,Conwy,Conwy,726,77
W01000133,Craig-y-Don 2,W06000003,Conwy,Conwy,1694,78
W01000134,Crwst,W06000003,Conwy,Conwy,1000,79
W01000135,Deganwy 1,W06000003,Conwy,Conwy,1856,80
W01000136,Deganwy 2,W06000003,Conwy,Conwy,1610,81
W01000137,Eglwysbach,W06000003,Conwy,Conwy,1178,82
W01000138,Eirias 1,W06000003,Conwy,Conwy,616,83
W01000139,Eirias 2,W06000003,Conwy,Conwy,1550,84
W01000140,Gele 1,W06000003,Conwy,Conwy,647,85
W01000141,Gele 2,W06000003,Conwy,Conwy,1598,86
W01000142,Gele 3,W06000003,Conwy,Conwy,1739,87
W01000143,Glyn (Conwy) 1,W06000003,Conwy,Conwy,477,88
W01000144,Glyn (Conwy) 2,W06000003,Conwy,Conwy,20,89
W01000145,Glyn (Conwy) 3,W06000003,Conwy,Conwy,792,90
W01000146,Gogarth 1,W06000003,Conwy,Conwy,623,91
W01000147,Gogarth 2,W06000003,Conwy,Conwy,1107,92
W01000148,Gower (Conwy),W06000003,Conwy,Conwy,1267,93
W01000149,Kinmel Bay 1,W06000003,Conwy,Conwy,296,94
W01000150,Kinmel Bay 2,W06000003,Conwy,Conwy,781,95
W01000151,Kinmel Bay 3,W06000003,Conwy,Conwy,540,96
W01000152,Kinmel Bay 4,W06000003,Conwy,Conwy,681,97
W01000153,Llanddulas,W06000003,Conwy,Conwy,1277,98
W01000154,Llandrillo yn Rhos 1,W06000003,Conwy,Conwy,1742,99
W01000155,Llandrillo yn Rhos 2,W06000003,Conwy,Conwy,1596,100
W01000360,Chirk North 2,W06000006,Wrexham,Wrecsam,574,101
W01000361,Chirk South,W06000006,Wrexham,Wrecsam,944,102
W01000362,Coedpoeth 1,W06000006,Wrexham,Wrecsam,433,103
W01000363,Coedpoeth 2,W06000006,Wrexham,Wrecsam,1411,104
W01000364,Coedpoeth 3,W06000006,Wrexham,Wrecsam,1223,105
W01000365,Erddig,W06000006,Wrexham,Wrecsam,1365,106
W01000366,Esclusham 1,W06000006,Wrexham,Wrecsam,977,107
W01000367,Esclusham 2,W06000006,Wrexham,Wrecsam,1674,108
W01000368,Garden Village,W06000006,Wrexham,Wrecsam,1869,109
W01000369,Gresford East and West 1,W06000006,Wrexham,Wrecsam,1668,110
W01000370,Gresford East and West 2,W06000006,Wrexham,Wrecsam,1778,111
W01000371,Grosvenor 1,W06000006,Wrexham,Wrecsam,980,112
W01000372,Grosvenor 2,W06000006,Wrexham,Wrecsam,430,113
W01000373,Gwenfro,W06000006,Wrexham,Wrecsam,465,114
W01000374,Gwersyllt East and South 1,W06000006,Wrexham,Wrecsam,600,115
W01000375,Gwersyllt East and South 2,W06000006,Wrexham,Wrecsam,1583,116
W01000376,Gwersyllt East and South 3,W06000006,Wrexham,Wrecsam,1542,117
W01000377,Gwersyllt North 1,W06000006,Wrexham,Wrecsam,1421,118
W01000378,Gwersyllt North 2,W06000006,Wrexham,Wrecsam,270,119
W01000379,Gwersyllt West 1,W06000006,Wrexham,Wrecsam,332,120
W01000380,Gwersyllt West 2,W06000006,Wrexham,Wrecsam,1217,121
W01000381,Hermitage 1,W06000006,Wrexham,Wrecsam,509,122
W01000382,Hermitage 2,W06000006,Wrexham,Wrecsam,333,123
W01000383,Holt 1,W06000006,Wrexham,Wrecsam,1384,124
W01000384,Holt 2,W06000006,Wrexham,Wrecsam,1752,125
W01000385,Johnstown 1,W06000006,Wrexham,Wrecsam,1737,126
W01000386,Johnstown 2,W06000006,Wrexham,Wrecsam,665,127
W01000387,Little Acton 1,W06000006,Wrexham,Wrecsam,1849,128
W01000388,Little Acton 2,W06000006,Wrexham,Wrecsam,1572,129
W01000389,Llangollen Rural,W06000006,Wrexham,Wrecsam,1337,130
W01000390,Llay 1,W06000006,Wrexham,Wrecsam,1359,131
W01000391,Llay 2,W06000006,Wrexham,Wrecsam,1347,132
W01000392,Llay 3,W06000006,Wrexham,Wrecsam,383,133
W01000393,Maesydre,W06000006,Wrexham,Wrecsam,962,134
W01000394,Marchwiel 1,W06000006,Wrexham,Wrecsam,1441,135
W01000395,Marchwiel 2,W06000006,Wrexham,Wrecsam,1357,136
W01000396,Marford and Hoseley 1,W06000006,Wrexham,Wrecsam,1901,137
W01000397,Marford and Hoseley 2,W06000006,Wrexham,Wrecsam,1908,138
W01000398,Minera 1,W06000006,Wrexham,Wrecsam,1113,139
W01000399,Minera 2,W06000006,Wrexham,Wrecsam,1548,140
W01000400,New Broughton 1,W06000006,Wrexham,Wrecsam,1033,141
W01000401,New Broughton 2,W06000006,Wrexham,Wrecsam,696,142
W01000402,Offa,W06000006,Wrexham,Wrecsam,717,143
W01000403,Overton 1,W06000006,Wrexham,Wrecsam,1465,144
W01000404,Overton 2,W06000006,Wrexham,Wrecsam,1495,145
W01000405,Pant,W06000006,Wrexham,Wrecsam,458,146
W01000406,Penycae,W06000006,Wrexham,Wrecsam,341,147
W01000407,Penycae and Ruabon South 1,W06000006,Wrexham,Wrecsam,1554,148
W01000408,Penycae and Ruabon South 2,W06000006,Wrexham,Wrecsam,846,149
W01000409,Plas Madoc,W06000006,Wrexham,Wrecsam,99,150
W01000053,Bethel & Cwm-y-Glo 2,W06000002,Gwynedd,Gwynedd,1320,151
W01000054,Bontnewydd,W06000002,Gwynedd,Gwynedd,1394,152
W01000056,Bowydd and Rhiw,W06000002,Gwynedd,Gwynedd,558,153
W01000057,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,W06000002,Gwynedd,Gwynedd,889,154
W01000059,Cadnant (Gwynedd),W06000002,Gwynedd,Gwynedd,357,155
W01000060,Corris/Mawddwy,W06000002,Gwynedd,Gwynedd,768,156
W01000061,Criccieth,W06000002,Gwynedd,Gwynedd,1615,157
W01000062,Deiniol,W06000002,Gwynedd,Gwynedd,875,158
W01000063,Deiniolen,W06000002,Gwynedd,Gwynedd,663,159
W01000064,Dewi,W06000002,Gwynedd,Gwynedd,1016,160
W01000065,Diffwys and Maenofferen,W06000002,Gwynedd,Gwynedd,679,161
W01000066,Dolbenmaen,W06000002,Gwynedd,Gwynedd,904,162
W01000067,Dolgellau North,W06000002,Gwynedd,Gwynedd,1222,163
W01000068,Dolgellau South,W06000002,Gwynedd,Gwynedd,1224,164
W01000069,Dyffryn Ardudwy,W06000002,Gwynedd,Gwynedd,1339,165
W01000070,Efail-newydd/Buan,W06000002,Gwynedd,Gwynedd,1177,166
W01000071,Gerlan,W06000002,Gwynedd,Gwynedd,957,167
W01000072,Glyder,W06000002,Gwynedd,Gwynedd,1502,168
W01000073,Groeslon,W06000002,Gwynedd,Gwynedd,1375,169
W01000074,Harlech,W06000002,Gwynedd,Gwynedd,1254,170
W01000075,Hendre (Gwynedd),W06000002,Gwynedd,Gwynedd,753,171
W01000076,Hirael & Garth 1,W06000002,Gwynedd,Gwynedd,1132,172
W01000077,Hirael & Garth 2,W06000002,Gwynedd,Gwynedd,938,173
W01000078,Llanaelhaearn,W06000002,Gwynedd,Gwynedd,800,174
W01000079,Llanbedr,W06000002,Gwynedd,Gwynedd,1018,175
W01000080,Llanbedrog & Abersoch,W06000002,Gwynedd,Gwynedd,1355,176
W01000081,Llanberis,W06000002,Gwynedd,Gwynedd,1260,177
W01000082,Llandderfel & Llanuwchllyn 1,W06000002,Gwynedd,Gwynedd,991,178
W01000083,Llandderfel & Llanuwchllyn 2,W06000002,Gwynedd,Gwynedd,1162,179
W01000084,Llanengan,W06000002,Gwynedd,Gwynedd,1378,180
W01000085,Llangelynin,W06000002,Gwynedd,Gwynedd,725,181
W01000086,Llanllyfni & Clynnog,W06000002,Gwynedd,Gwynedd,748,182
W01000087,Llanrug,W06000002,Gwynedd,Gwynedd,1634,183
W01000088,Llanwnda,W06000002,Gwynedd,Gwynedd,1046,184
W01000089,Llanystumdwy,W06000002,Gwynedd,Gwynedd,1102,185
W01000090,Marchog 1,W06000002,Gwynedd,Gwynedd,300,186
W01000091,Marchog 2,W06000002,Gwynedd,Gwynedd,167,187
W01000092,Menai (Bangor),W06000002,Gwynedd,Gwynedd,1566,188
W01000093,Menai (Caernarfon),W06000002,Gwynedd,Gwynedd,1454,189
W01000094,Morfa Nefyn,W06000002,Gwynedd,Gwynedd,1574,190
W01000095,Nefyn,W06000002,Gwynedd,Gwynedd,1481,191
W01000096,Ogwen 1,W06000002,Gwynedd,Gwynedd,900,192
W01000097,Ogwen 2,W06000002,Gwynedd,Gwynedd,901,193
W01000098,Peblig (Caernarfon),W06000002,Gwynedd,Gwynedd,155,194
W01000099,Penisarwaun,W06000002,Gwynedd,Gwynedd,1349,195
W01000100,Penrhyndeudraeth 1,W06000002,Gwynedd,Gwynedd,1395,196
W01000101,Penrhyndeudraeth 2,W06000002,Gwynedd,Gwynedd,1338,197
W01000102,Pentir 1,W06000002,Gwynedd,Gwynedd,1633,198
W01000103,Pentir 2,W06000002,Gwynedd,Gwynedd,1109,199
W01000104,Penygroes (Gwynedd),W06000002,Gwynedd,Gwynedd,1090,200
W01000208,Llangollen 1,W06000004,Denbighshire,Sir Ddinbych,625,201
W01000209,Llangollen 2,W06000004,Denbighshire,Sir Ddinbych,1058,202
W01000210,Llangollen 3,W06000004,Denbighshire,Sir Ddinbych,1318,203
W01000211,Llanrhaeadr-yng-Nghinmeirch,W06000004,Denbighshire,Sir Ddinbych,1123,204
W01000212,Prestatyn Central 1,W06000004,Denbighshire,Sir Ddinbych,1591,205
W01000213,Prestatyn Central 2,W06000004,Denbighshire,Sir Ddinbych,400,206
W01000214,Prestatyn East 1,W06000004,Denbighshire,Sir Ddinbych,389,207
W01000215,Prestatyn East 2,W06000004,Denbighshire,Sir Ddinbych,1764,208
W01000216,Prestatyn East 3,W06000004,Denbighshire,Sir Ddinbych,572,209
W01000217,Prestatyn Meliden,W06000004,Denbighshire,Sir Ddinbych,845,210
W01000218,Prestatyn North 1,W06000004,Denbighshire,Sir Ddinbych,592,211
W01000219,Prestatyn North 2,W06000004,Denbighshire,Sir Ddinbych,836,212
W01000220,Prestatyn North 3,W06000004,Denbighshire,Sir Ddinbych,780,213
W01000221,Prestatyn South West 1,W06000004,Denbighshire,Sir Ddinbych,646,214
W01000222,Prestatyn South West 2,W06000004,Denbighshire,Sir Ddinbych,1025,215
W01000223,Rhuddlan 1,W06000004,Denbighshire,Sir Ddinbych,1369,216
W01000224,Rhuddlan 2,W06000004,Denbighshire,Sir Ddinbych,1329,217
W01000225,Rhuddlan 3,W06000004,Denbighshire,Sir Ddinbych,1210,218
W01000226,Rhyl East 1,W06000004,Denbighshire,Sir Ddinbych,351,219
W01000227,Rhyl East 2,W06000004,Denbighshire,Sir Ddinbych,973,220
W01000228,Rhyl East 3,W06000004,Denbighshire,Sir Ddinbych,133,221
W01000229,Rhyl South 1,W06000004,Denbighshire,Sir Ddinbych,587,222
W01000230,Rhyl South 2,W06000004,Denbighshire,Sir Ddinbych,1327,223
W01000231,Rhyl South East 1,W06000004,Denbighshire,Sir Ddinbych,782,224
W01000232,Rhyl South East 2,W06000004,Denbighshire,Sir Ddinbych,1152,225
W01000233,Rhyl South East 3,W06000004,Denbighshire,Sir Ddinbych,917,226
W01000234,Rhyl South East 4,W06000004,Denbighshire,Sir Ddinbych,192,227
W01000235,Rhyl South East 5,W06000004,Denbighshire,Sir Ddinbych,1453,228
W01000236,Rhyl South West 1,W06000004,Denbighshire,Sir Ddinbych,57,229
W01000237,Rhyl South West 2,W06000004,Denbighshire,Sir Ddinbych,19,230
W01000238,Rhyl South West 3,W06000004,Denbighshire,Sir Ddinbych,651,231
W01000239,Rhyl West 1,W06000004,Denbighshire,Sir Ddinbych,2,232
W01000240,Rhyl West 2,W06000004,Denbighshire,Sir Ddinbych,1,233
W01000241,Rhyl West 3,W06000004,Denbighshire,Sir Ddinbych,11,234
W01000242,Ruthin 1,W06000004,Denbighshire,Sir Ddinbych,1041,235
W01000243,Ruthin 2,W06000004,Denbighshire,Sir Ddinbych,1447,236
W01000244,Ruthin 3,W06000004,Denbighshire,Sir Ddinbych,1887,237
W01000245,St. Asaph East,W06000004,Denbighshire,Sir Ddinbych,1556,238
W01000246,St. Asaph West,W06000004,Denbighshire,Sir Ddinbych,1020,239
W01000247,Trefnant,W06000004,Denbighshire,Sir Ddinbych,1114,240
W01000248,Tremeirchion,W06000004,Denbighshire,Sir Ddinbych,1243,241
W01000249,Argoed (Flintshire) 1,W06000005,Flintshire,Sir y Fflint,1862,242
W01000250,Argoed (Flintshire) 2,W06000005,Flintshire,Sir y Fflint,1738,243
W01000251,Aston 1,W06000005,Flintshire,Sir y Fflint,1272,244
W01000252,Aston 2,W06000005,Flintshire,Sir y Fflint,1498,245
W01000253,Bagillt East,W06000005,Flintshire,Sir y Fflint,940,246
W01000254,Bagillt West,W06000005,Flintshire,Sir y Fflint,568,247
W01000255,Broughton North East,W06000005,Flintshire,Sir y Fflint,1478,248
W01000256,Broughton South 1,W06000005,Flintshire,Sir y Fflint,1455,249
W01000257,Broughton South 2,W06000005,Flintshire,Sir y Fflint,1831,250
W01000156,Llandrillo yn Rhos 3,W06000003,Conwy,Conwy,1482,251
W01000157,Llandrillo yn Rhos 4,W06000003,Conwy,Conwy,610,252
W01000158,Llandrillo yn Rhos 5,W06000003,Conwy,Conwy,1506,253
W01000159,Llangernyw,W06000003,Conwy,Conwy,968,254
W01000162,Llansannan,W06000003,Conwy,Conwy,1001,255
W01000163,Llysfaen 1,W06000003,Conwy,Conwy,193,256
W01000164,Llysfaen 2,W06000003,Conwy,Conwy,1328,257
W01000165,Marl 1,W06000003,Conwy,Conwy,1830,258
W01000166,Marl 2,W06000003,Conwy,Conwy,1084,259
W01000167,Mochdre,W06000003,Conwy,Conwy,615,260
W01000168,Mostyn (Conwy) 1,W06000003,Conwy,Conwy,590,261
W01000169,Mostyn (Conwy) 2,W06000003,Conwy,Conwy,521,262
W01000170,Pandy,W06000003,Conwy,Conwy,1408,263
W01000171,Pant-yr-afon/Penmaenan 1,W06000003,Conwy,Conwy,969,264
W01000172,Pant-yr-afon/Penmaenan 2,W06000003,Conwy,Conwy,516,265
W01000173,Penrhyn 1,W06000003,Conwy,Conwy,1599,266
W01000174,Penrhyn 2,W06000003,Conwy,Conwy,1859,267
W01000175,Penrhyn 3,W06000003,Conwy,Conwy,1861,268
W01000176,Pensarn 1,W06000003,Conwy,Conwy,759,269
W01000177,Pensarn 2,W06000003,Conwy,Conwy,1197,270
W01000178,Pentre Mawr 1,W06000003,Conwy,Conwy,313,271
W01000179,Pentre Mawr 2,W06000003,Conwy,Conwy,1584,272
W01000180,Rhiw 1,W06000003,Conwy,Conwy,1769,273
W01000181,Rhiw 2,W06000003,Conwy,Conwy,1841,274
W01000182,Rhiw 3,W06000003,Conwy,Conwy,202,275
W01000183,Rhiw 4,W06000003,Conwy,Conwy,1310,276
W01000184,Towyn,W06000003,Conwy,Conwy,439,277
W01000185,Trefriw,W06000003,Conwy,Conwy,1195,278
W01000186,Tudno 1,W06000003,Conwy,Conwy,364,279
W01000187,Tudno 2,W06000003,Conwy,Conwy,78,280
W01000188,Tudno 3,W06000003,Conwy,Conwy,1457,281
W01000189,Uwch Conwy,W06000003,Conwy,Conwy,914,282
W01000190,Uwchaled,W06000003,Conwy,Conwy,1168,283
W01000191,Bodelwyddan,W06000004,Denbighshire,Sir Ddinbych,1002,284
W01000192,Corwen 1,W06000004,Denbighshire,Sir Ddinbych,953,285
W01000193,Corwen 2,W06000004,Denbighshire,Sir Ddinbych,700,286
W01000194,Denbigh Central,W06000004,Denbighshire,Sir Ddinbych,602,287
W01000195,Denbigh Lower 1,W06000004,Denbighshire,Sir Ddinbych,1870,288
W01000196,Denbigh Lower 2,W06000004,Denbighshire,Sir Ddinbych,1730,289
W01000197,Denbigh Lower 3,W06000004,Denbighshire,Sir Ddinbych,1581,290
W01000198,Denbigh Upper/Henllan 1,W06000004,Denbighshire,Sir Ddinbych,170,291
W01000199,Denbigh Upper/Henllan 2,W06000004,Denbighshire,Sir Ddinbych,519,292
W01000200,Dyserth 1,W06000004,Denbighshire,Sir Ddinbych,1471,293
W01000201,Dyserth 2,W06000004,Denbighshire,Sir Ddinbych,779,294
W01000202,Efenechtyd,W06000004,Denbighshire,Sir Ddinbych,1334,295
W01000203,Llanarmon-yn-Ial/Llandegla,W06000004,Denbighshire,Sir Ddinbych,1508,296
W01000204,Llanbedr Dyffryn Clwyd/Llangynhafal,W06000004,Denbighshire,Sir Ddinbych,1607,297
W01000205,Llandrillo,W06000004,Denbighshire,Sir Ddinbych,1192,298
W01000206,Llandyrnog,W06000004,Denbighshire,Sir Ddinbych,1253,299
W01000207,Llanfair Dyffryn Clwyd/Gwyddelwern,W06000004,Denbighshire,Sir Ddinbych,1155,300
W01000258,Brynford,W06000005,Flintshire,Sir y Fflint,1372,301
W01000259,Buckley Bistre East 1,W06000005,Flintshire,Sir y Fflint,921,302
W01000260,Buckley Bistre East 2,W06000005,Flintshire,Sir y Fflint,1629,303
W01000261,Buckley Bistre West 1,W06000005,Flintshire,Sir y Fflint,1631,304
W01000262,Buckley Bistre West 2,W06000005,Flintshire,Sir y Fflint,627,305
W01000263,Buckley Bistre West 3,W06000005,Flintshire,Sir y Fflint,470,306
W01000264,Buckley Mountain 1,W06000005,Flintshire,Sir y Fflint,1693,307
W01000265,Buckley Mountain 2,W06000005,Flintshire,Sir y Fflint,1520,308
W01000266,Buckley Pentrobin 1,W06000005,Flintshire,Sir y Fflint,1582,309
W01000267,Buckley Pentrobin 2,W06000005,Flintshire,Sir y Fflint,1696,310
W01000268,Buckley Pentrobin 3,W06000005,Flintshire,Sir y Fflint,1867,311
W01000269,Caergwrle,W06000005,Flintshire,Sir y Fflint,1244,312
W01000270,Caerwys 1,W06000005,Flintshire,Sir y Fflint,1559,313
W01000271,Caerwys 2,W06000005,Flintshire,Sir y Fflint,1352,314
W01000272,Cilcain,W06000005,Flintshire,Sir y Fflint,1557,315
W01000273,Connah's Quay Central 1,W06000005,Flintshire,Sir y Fflint,672,316
W01000274,Connah's Quay Central 2,W06000005,Flintshire,Sir y Fflint,231,317
W01000275,Connah's Quay Golftyn 1,W06000005,Flintshire,Sir y Fflint,1458,318
W01000276,Connah's Quay Golftyn 2,W06000005,Flintshire,Sir y Fflint,1573,319
W01000277,Connah's Quay Golftyn 3,W06000005,Flintshire,Sir y Fflint,1645,320
W01000278,Connah's Quay Golftyn 4,W06000005,Flintshire,Sir y Fflint,225,321
W01000279,Connah's Quay South 1,W06000005,Flintshire,Sir y Fflint,1468,322
W01000280,Connah's Quay South 2,W06000005,Flintshire,Sir y Fflint,1588,323
W01000281,Connah's Quay South 3,W06000005,Flintshire,Sir y Fflint,1489,324
W01000282,Connah's Quay South 4,W06000005,Flintshire,Sir y Fflint,1882,325
W01000283,Connah's Quay Wepre,W06000005,Flintshire,Sir y Fflint,1294,326
W01000284,Ewloe 1,W06000005,Flintshire,Sir y Fflint,1852,327
W01000285,Ewloe 2,W06000005,Flintshire,Sir y Fflint,1876,328
W01000286,Ewloe 3,W06000005,Flintshire,Sir y Fflint,1846,329
W01000287,Ffynnongroyw,W06000005,Flintshire,Sir y Fflint,409,330
W01000288,Flint Castle,W06000005,Flintshire,Sir y Fflint,320,331
W01000289,Flint Coleshill 1,W06000005,Flintshire,Sir y Fflint,1612,332
W01000290,Flint Coleshill 2,W06000005,Flintshire,Sir y Fflint,223,333
W01000291,Flint Coleshill 3,W06000005,Flintshire,Sir y Fflint,1279,334
W01000292,Flint Oakenholt 1,W06000005,Flintshire,Sir y Fflint,469,335
W01000293,Flint Oakenholt 2,W06000005,Flintshire,Sir y Fflint,678,336
W01000294,Flint Trelawny 1,W06000005,Flintshire,Sir y Fflint,1685,337
W01000295,Flint Trelawny 2,W06000005,Flintshire,Sir y Fflint,1515,338
W01000296,Greenfield 1,W06000005,Flintshire,Sir y Fflint,247,339
W01000297,Greenfield 2,W06000005,Flintshire,Sir y Fflint,1208,340
W01000298,Gronant,W06000005,Flintshire,Sir y Fflint,475,341
W01000299,Gwernaffield,W06000005,Flintshire,Sir y Fflint,1619,342
W01000300,Gwernymynydd,W06000005,Flintshire,Sir y Fflint,1640,343
W01000301,Halkyn,W06000005,Flintshire,Sir y Fflint,1179,344
W01000302,Hawarden,W06000005,Flintshire,Sir y Fflint,1847,345
W01000303,Higher Kinnerton,W06000005,Flintshire,Sir y Fflint,1866,346
W01000304,Holywell Central,W06000005,Flintshire,Sir y Fflint,152,347
W01000305,Holywell East,W06000005,Flintshire,Sir y Fflint,983,348
W01000306,Holywell West,W06000005,Flintshire,Sir y Fflint,675,349
W01000307,Hope 1,W06000005,Flintshire,Sir y Fflint,1807,350
W01000308,Hope 2,W06000005,Flintshire,Sir y Fflint,1236,351
W01000309,Leeswood,W06000005,Flintshire,Sir y Fflint,1181,352
W01000310,Llanfynydd,W06000005,Flintshire,Sir y Fflint,1476,353
W01000311,Mancot 1,W06000005,Flintshire,Sir y Fflint,1274,354
W01000312,Mancot 2,W06000005,Flintshire,Sir y Fflint,876,355
W01000313,Mold Broncoed 1,W06000005,Flintshire,Sir y Fflint,1211,356
W01000314,Mold Broncoed 2,W06000005,Flintshire,Sir y Fflint,694,357
W01000315,Mold East,W06000005,Flintshire,Sir y Fflint,1149,358
W01000316,Mold South 1,W06000005,Flintshire,Sir y Fflint,1888,359
W01000317,Mold South 2,W06000005,Flintshire,Sir y Fflint,1909,360
W01000318,Mold West 1,W06000005,Flintshire,Sir y Fflint,295,361
W01000319,Mold West 2,W06000005,Flintshire,Sir y Fflint,1085,362
W01000320,Mostyn (Flintshire),W06000005,Flintshire,Sir y Fflint,464,363
W01000321,New Brighton 1,W06000005,Flintshire,Sir y Fflint,1880,364
