Location,Lat,Lng,Title,URL,Display,Source,Notes,Force,Force URL,Neighbourhood,Neighbourhood URL,Neighbourhood email,Created,ID,ISO 8601 Date
"Bala, Gwynedd",52.909911,-3.601584,Yr Ymateb Cymuned Penllyn Community Response,https://www.facebook.com/groups/penllynresponse/,VISIBLE,facebook group,,North Wales Police,,Bala,https://www.north-wales.police.uk/your-neighbourhood,,26/03/2020 00:34:43,4915731b-3766-44fd-8122-82a8b04fdb7f,2020-03-26
"Bargoed, cf81 ",51.684912,-3.229699,Bargoed Coronavirus Community Help,https://www.facebook.com/groups/813269219172008/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Bargoed,http://www.gwent.police.uk/nc/my-area/ward/CB/2/,bargoed@gwent.pnn.police.uk,24/03/2020 10:08:21,5f91a338-5ce2-412b-a5c9-3b91f138a73a,2020-03-24
"Barry Waterfront development, Barry South Wales ",51.3930556,-3.2688889,Barry Waterfront covid19 Community Support ,https://m.facebook.com/groups/2476088765987098,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Baruc,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/baruc/,,16/03/2020 23:24:23,e0e98b3e-6edc-408f-a6cc-d233952e4d19,2020-03-16
"Barry, Wales",51.3997529,-3.2825859,Barry Community COVID-19 news and assistance,https://www.facebook.com/groups/barrycommunitycovid19/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Illtyd,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/illtyd/,,15/03/2020 13:39:40,d0d2ee3c-2cee-402f-9b0c-91339c507be1,2020-03-15
"Beaumaris, Anglesey, North Wales",53.265865,-4.09199,Cynllun Tro Da Seiriol Good Turn Scheme,http://www.facebook.com/trodaseiriolgoodturn/,VISIBLE,facebook group,,North Wales Police,,Beaumaris,https://www.north-wales.police.uk/your-neighbourhood,,24/03/2020 14:54:40,24265d51-bf56-4afb-a451-c9965ef86da7,2020-03-24
"Berriew, Powys",52.600386,-3.203718,Berriew Support,https://www.facebook.com/groups/berriewsupport/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Newtown Rural,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/newtown-rural/,NewtownRuralNPT@dyfed-powys.pnn.police.uk,26/03/2020 15:48:10,f23698b2-19c0-4fc7-b5df-2774c90a57fb,2020-03-26
"Blaenavon, Pontypool, UK",51.772502,-3.085896,Blaenavon Coronovirus Help Group,http://www.facebook.com/groups/561669131115526/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Blaenavon,http://www.gwent.police.uk/nc/my-area/ward/TP/129/,pontypool@gwent.pnn.police.uk,4/1/2020 14:27:39,c4a62d40-9363-4fbe-a1e2-9104f3acb3d7,
Brecon,51.9489469,-3.391463,Coronavirus Brecon and surrounding areas support group  ,https://www.facebook.com/groups/546009316119695/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Brecon Town,https://www.dyfed-powys.police.uk/en/your-area/powys/brecon/brecon-town/,BreconTownNPT@dyfed-powys.pnn.police.uk,15/03/2020 15:25:22,be7a0fc7-970b-489f-9379-5287c1e8df9a,2020-03-15
Bridgend,51.504286,-3.576945,Stay Connected Telephone Befriending Network,https://www.facebook.com/mhmwales,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Oldcastle,https://www.south-wales.police.uk/en/neighbourhood/bridgend/oldcastle/,,26/03/2020 10:54:21,5332f17f-3651-4576-8477-fd728fbf55af,2020-03-26
"Bridgend CF31, UK",51.5128717,-3.5870424,Bridgend Association of Voluntary Organisations,https://www.facebook.com/bavohub/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Newcastle,https://www.south-wales.police.uk/en/neighbourhood/bridgend/newcastle/,,4/5/2020 16:12:31,a61ff454-0344-4c1a-93cd-605bb898bf1b,2020-04-05
"Brooks, Berriew, Welshpool, Powys",52.660348,-3.146407,Brooks Coronavirus Support,https://www.facebook.com/groups/brookscommunity/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Welshpool Town,https://www.dyfed-powys.police.uk/en/your-area/powys/welshpool/welshpool-town/,WelshpoolTownNPT@dyfed-powys.pnn.police.uk,17/03/2020 20:14:15,de980ad5-7762-43a4-91cf-b7a6109e30c3,2020-03-17
Bryncoch,51.6831569,-3.8175666,Covid-19 Bryncoch and Caewern ,https://www.facebook.com/groups/2540308379517021/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Bryn-Coch North,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/bryn-coch-north/,,19/03/2020 22:35:42,c327017d-0626-48f4-8556-fbbd0e2bbfca,2020-03-19
"Bwlchnewydd, Carmarthenshire",51.898003,-4.372818,Mutual Aid Bwlchnewydd Area,https://www.facebook.com/groups/656480578228425/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,27/03/2020 15:20:12,1bae558d-b85f-4b4d-9e3a-ccfa69b6955b,2020-03-27
"Cae Gwastad, Harlech LL46 2GY, UK",52.8674983,-4.1100209,Help Harlech,https://www.facebook.com/helpharlech/,VISIBLE,facebook group,,North Wales Police,,Harlech,https://www.north-wales.police.uk/your-neighbourhood,,4/4/2020 18:40:35,cf3a73ae-8bd4-4db7-ad5b-aa8c4dde8ef9,
Caerphilly,51.578829,-3.218134,Caerphilly Coronavirus Support,https://www.facebook.com/groups/920287805036004/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Morgan Jones,http://www.gwent.police.uk/nc/my-area/ward/CC/7/,caerphilly@gwent.pnn.police.uk,18/03/2020 09:58:49,fbec809b-1c9f-4e8b-83f4-2f1f73265e86,2020-03-18
Caersws Powys ,52.5163888,-3.4287484,Caersws & Local Villages Covid 19 Support Group,https://www.facebook.com/groups/870195643393182/,UPDATED,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Llanidloes,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/llanidloes/,LlanidloesNPT@dyfed-powys.pnn.police.uk,19/03/2020 22:21:54,c7bf1f1d-c26c-4edf-bf64-04519e7b41cf,2020-03-19
"Caerwent, Caldicot",51.6106852,-2.7647246,Caerwent Community Support Group-COVID19,https://www.faceboook.com/groups/caerwentcovid19,HTTP FAIL,,,,,,,,22/03/2020 21:35:54,faa82de7-8fcc-4c0d-a709-1361ab6951f7,2020-03-22
"Camarthen, Tenby, Pembrokeshire ",51.672035,-4.695308,Carms west & South Pembrokeshire Covid 19 Support group,https://www.facebook.com/groups/231551228021854/,UPDATED,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Tenby,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/tenby/,TenbyNPT@dyfed-powys.pnn.police.uk,15/03/2020 16:34:08,94857227-3a20-404c-9c36-603a78d5f804,2020-03-15
"Canton, Cardiff",51.4790711,-3.2096851,Canton Covid-19 mutual aid group,https://www.facebook.com/groups/2532290837040130/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Canton,https://www.south-wales.police.uk/en/neighbourhood/cardiff/canton/,,18/03/2020 21:03:26,a23741cf-8057-4f48-a77e-b0f03fe9c458,2020-03-18
Cardiff,51.481581,-3.17909,Cardiff Covid-19 Mutual Aid,https://www.facebook.com/groups/798456330650652,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,14/03/2020 16:59:54,29af0cd5-af3d-420c-ac07-50544cf519d6,2020-03-14
Cardiff,51.481581,-3.17909,Penylan / Cyncoed Covid-19 Mutual Aid Group,https://www.facebook.com/groups/685229805549686/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,15/03/2020 17:41:56,ba2636de-e708-4854-8884-6992d6435a5a,2020-03-15
Cardiff,51.481581,-3.17909,Cardiff Area Corona Support,https://www.facebook.com/groups/190344125596745/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,16/03/2020 09:42:39,7276cbe3-78b8-46b6-9a22-990981ff0acf,2020-03-16
Cardiff,51.481581,-3.17909,Newfoundland Road Cardiff,https://www.facebook.com/groups/202098517691472/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,16/03/2020 22:52:20,b4e45f3e-ca6f-4e9f-a14c-dc71cbe9a8d5,2020-03-16
Cardiff,51.481581,-3.17909,Butetown and Bay Covid Mutual Aid,https://www.facebook.com/groups/635718133658805/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,28/03/2020 05:26:18,2a6e55c2-48c5-4219-9ab3-89dfbbf65ec4,2020-03-28
Cardiff - Penylan,51.502042,-3.162457,Penylan Covid-19 Community Support,https://www.facebook.com/groups/207574297320020/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Penylan,https://www.south-wales.police.uk/en/neighbourhood/cardiff/penylan/,,19/03/2020 19:20:04,5477e71b-18a4-460a-a421-62f4041eb7f5,2020-03-19
Cardiff - Roath/ Cathays/ Gabalfa/ Heath,51.5018224,-3.1951155,Roath/ Cathays/ Gabalfa/ Heath COVID-19 Area Group,https://m.facebook.com/groups/251990475816496,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Gabalfa,https://www.south-wales.police.uk/en/neighbourhood/cardiff/gabalfa/,,15/03/2020 15:11:10,81f9902a-8f46-44e7-b0ec-715d4b912a81,2020-03-15
Cardiff and Vale of Glamorgan ,51.4528396,-3.1895313,Community Payback,https://www.wales.probationservices.co.uk,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Grangetown,https://www.south-wales.police.uk/en/neighbourhood/cardiff/grangetown/,,24/03/2020 11:26:19,ccc9a700-ca55-40d6-a98a-a0d5f6387194,2020-03-24
Cardiff Marina,51.4478694,-3.1846032,Victoria Wharf Volunteers,https://www.facebook.com/groups/victoriawharfcardiff,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Grangetown,https://www.south-wales.police.uk/en/neighbourhood/cardiff/grangetown/,,15/03/2020 15:55:18,552bd4e3-4a05-424c-80e8-5a352505d6e0,2020-03-15
Cardiff West,51.486,-3.214,Ely and Caerau Covid-19 Support,https://www.facebook.com/groups/1036654390037535,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Canton,https://www.south-wales.police.uk/en/neighbourhood/cardiff/canton/,,16/03/2020 11:51:16,0783f59d-d203-48ac-8451-d32a64914752,2020-03-16
"Cardiff, UK",51.481581,-3.17909,Corona Virus - South Wales Resilience Group ,https://www.facebook.com/groups/southwalescommunity/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,4/2/2020 14:08:35,f4d3c261-4d8c-46b6-b529-4f402cce3bfd,
"Cardiff, Wales",51.481581,-3.17909,Cardiff Covid-19 Mutual Aid Network,https://www.facebook.com/groups/505064553776232/,UPDATED,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cathays,https://www.south-wales.police.uk/en/neighbourhood/cardiff/cathays/,,15/03/2020 17:07:24,48b7098f-158d-4dec-8a15-3f5e167f9996,2020-03-15
Cardigan,52.083703,-4.660864,Cardigan - Corona Virus Help,https://m.facebook.com/groups/496385217937980,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Cardigan Town,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/cardigan-town/,CardiganNPT@dyfed-powys.pnn.police.uk,23/03/2020 08:17:56,91202cb7-87be-4454-aae5-eb9554e3452d,2020-03-23
Carmarthenshire,51.8572309,-4.3115959,Grwp Cyd-Cymorth Sir Gar | Sir Gar Mutual Aid Group,https://www.facebook.com/groups/221955192513263/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,17/03/2020 15:09:14,90625a7d-1195-44f1-ad58-65c7ac0193ea,2020-03-17
Carmarthenshire ,51.8572309,-4.3115959,Carmarthenshire covid-19 support group,https://m.facebook.com/groups/827580067719862/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Carmarthen,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/carmarthen/,CarmarthenTownNPT@dyfed-powys.pnn.police.uk,17/03/2020 08:40:37,cd4a1e6e-7132-4090-9651-e4bb17a8c3ef,2020-03-17
Ceredigion,52.2191429,-3.9321256,Ceredigion Coronavirus Support,https://www.facebook.com/groups/ceredigioncoronavirussupport/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Tregaron,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/tregaron/,LampeterNPT@dyfed-powys.pnn.police.uk,16/03/2020 13:26:10,d49e168f-a6fc-4d44-b4c8-27da1b3fa6cc,2020-03-16
CF71 7DP,51.44183,-3.4116754,St Hilary (Wales) Community Coronavirus Support,http://www.sthilary.org.uk/,VISIBLE,website,,South Wales Police,https://www.south-wales.police.uk,Cowbridge,https://www.south-wales.police.uk/en/neighbourhood/vale-of-glamorgan/cowbridge/,,22/03/2020 12:42:26,80c8d43b-a484-44d2-865a-c72034a49489,2020-03-22
Chepstow,51.641856,-2.673804,Chepstow Covid 19 helping group ,https://www.facebook.com/groups/543155922970484/,UPDATED,facebook group,,Gwent Police,http://www.gwent.police.uk/,St Mary's,http://www.gwent.police.uk/nc/my-area/ward/ML/69/,lowerwye@gwent.pnn.police.uk,22/03/2020 01:04:42,9872b05f-37bd-4699-8034-051cabf234c0,2020-03-22
"Chirk, Wrexham",52.9322792,-3.0567818,Chirk Coronavirus Support,https://www.facebook.com/chirkcoronavirussupport/,VISIBLE,facebook group,,North Wales Police,,Chirk South,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 13:53:16,eb3c36d6-840b-46b3-b447-e0522d6477e0,2020-03-17
Cimla,51.6529998,-3.7811149,Cimla Covid-19 Support Group,https://m.facebook.com/groups/198095591510088,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Cimla,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/cimla/,,17/03/2020 13:24:46,091aaed7-9407-4aca-be20-c74f97b56a10,2020-03-17
Colwyn Bay,53.293182,-3.72764,Colwyn Bay Covid-19 Action Network,https://www.facebook.com/groups/2505072983068360/,VISIBLE,facebook group,,North Wales Police,,Glyn,https://www.north-wales.police.uk/your-neighbourhood,,16/03/2020 16:36:18,6a205d10-eb63-48ae-8a43-09af027da8eb,2020-03-16
"Cwmbran, UK",51.6496546,-3.0317889,Councillor Elizabeth Haynes ,https://m.facebook.com/groups/692362157447373,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,St Dials,http://www.gwent.police.uk/nc/my-area/ward/TC/125/,cwmbran@gwent.pnn.police.uk,4/2/2020 12:18:10,99f7f2db-a61f-4347-ab32-7dea6ff2ea76,
"Cwmbran, UK",51.6496546,-3.0317889,Greenmeadow/fairwater covid-19 group,https://www.facebook.com/greenmeadow/fairwatercovid-19groupduscusdion,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,St Dials,http://www.gwent.police.uk/nc/my-area/ward/TC/125/,cwmbran@gwent.pnn.police.uk,4/4/2020 9:40:54,2c52416a-75ec-4965-a548-77451400d286,
"Deiniolen, Gwynedd",53.148079,-4.130075,Grŵp Cymorth Covid-19 Aid Group - Ardal Deiniolen Area,https://www.facebook.com/groups/2746564232063847/,VISIBLE,facebook group,,North Wales Police,,Deiniolen,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 20:52:46,af566107-5748-4a57-b409-ee71c7c78ae0,2020-03-17
"Deri, Caerphilly, South Wales",51.70726,-3.264148,Deri and Groesfaen Good Neighbours Group,https://www.facebook.com/groups/206853197314591/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Darren Valley,http://www.gwent.police.uk/nc/my-area/ward/CR/18/,rhymney@gwent.pnn.police.uk,17/03/2020 12:23:23,5b63a029-75ad-49ef-9319-8d671e7f66fe,2020-03-17
Devauden Monmouthsire,51.6860039,-2.7478379,Devauden Coronavirus Support Group,http://www.devauden.org.uk/covid-19.html,VISIBLE,website,,Gwent Police,http://www.gwent.police.uk/,Devauden,http://www.gwent.police.uk/nc/my-area/ward/ML/63/,lowerwye@gwent.pnn.police.uk,24/03/2020 09:07:07,6df0ede6-a1cf-4607-bc68-d5a4bcc5f5aa,2020-03-24
Dinas Mawddwy & Dolgellau,52.74215,-3.8844,Cymorth Corona Ardal Dolgellau a Dinas Mawddwy Corona Help Group,https://www.facebook.com/groups/191075669001543/,VISIBLE,facebook group,,North Wales Police,,Dolgellau South,https://www.north-wales.police.uk/your-neighbourhood,,21/03/2020 15:57:40,bb50b0d1-2c58-4b88-831a-69941694b40d,2020-03-21
Dolwyddelan ,53.053941,-3.886577,Dolwyddelan Covid-19 Mutual Aid Volunteers,https://www.dolwyddelancc.org.uk/en/home.html,VISIBLE,website,,North Wales Police,,Betws-y-Coed,https://www.north-wales.police.uk/your-neighbourhood,,24/03/2020 11:44:56,1a7acabb-7b5a-499a-83f5-1b33d91d4b59,2020-03-24
"Dulais Valley, Neath, South Wales, Uk",51.7360654,-3.750867,Dulais Valley covid 19 support group,https://m.facebook.com/groups/566248827431071,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Crynant,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/crynant/,,16/03/2020 19:47:16,f001c97c-4ef2-424d-a826-3282ccc4eea7,2020-03-16
Dyffryn ARDUDWY  LL442DH ,52.7890083,-4.0962247,Plan C Dyffryn Ardudwy + Talybont,https://www.facebook.com/groups/252338849118563/,VISIBLE,facebook group,,North Wales Police,,Dyffryn Ardudwy,https://www.north-wales.police.uk/your-neighbourhood,,21/03/2020 09:32:33,860faeae-cf08-4694-a5cb-1723b64fd778,2020-03-21
"Ebbw Vale, Blaenau Gwent",51.777532,-3.206151,Ebbw Vale Covid-19 Mutual Aid,https://www.facebook.com/groups/568907553718792/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Ebbw Vale South,http://www.gwent.police.uk/nc/my-area/ward/GE/45/,ebbwvale@gwent.pnn.police.uk,17/03/2020 00:56:03,cba24670-bc47-4356-816c-3b1e0c4c0d2b,2020-03-17
Efail Isaf,51.551748,-3.318509,Efail Isaf Covid-19 support network ,https://www.facebook.com/groups/235868693655644/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Llantwit Fardre,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/llantwit-fardre/,,18/03/2020 21:01:10,dddf9bc4-ccba-4bc9-b5e0-205d10950ab9,2020-03-18
Fishguard ,51.993927,-4.975989,Mutual Aid Fishguard ,https://www.facebook.com/groups/874344719674197/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Fishguard,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/fishguard/,FishguardNPT@dyfed-powys.pnn.police.uk,19/03/2020 16:54:09,99aada31-03e1-4e90-9a9f-ad9f85b33174,2020-03-19
Flintshire ,53.1668658,-3.1418908,Flintshire corona virus,https://www.facebook.com/groups/1188575248200787/,VISIBLE,facebook group,,North Wales Police,,Mold Broncoed,https://www.north-wales.police.uk/your-neighbourhood,,16/03/2020 15:41:19,59b7fa72-94c2-4d69-bb31-ae84dddbebb5,2020-03-16
Flintshire ,53.1668658,-3.1418908,Trelogan,https://m.facebook.com/groups/101100653311817,VISIBLE,facebook group,,North Wales Police,,Mold Broncoed,https://www.north-wales.police.uk/your-neighbourhood,,22/03/2020 18:01:36,0156e000-e29e-401a-a645-7ba874d14905,2020-03-22
Flintshire North Wales,53.1668658,-3.1418908,Covid 19 Mutual aid Flintshire,https://www.facebook.com/groups/194046398591017/,VISIBLE,facebook group,,North Wales Police,,Mold Broncoed,https://www.north-wales.police.uk/your-neighbourhood,,17/03/2020 07:18:24,bcbec064-f661-4807-beea-f0994cbf9a5d,2020-03-17
Glyncoch CF37 3DA,51.6227917,-3.3364726,Glyncoch Covid19 community support group,https://www.facebook.com/groups/2567769563490521/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Glyncoch,https://www.south-wales.police.uk/en/neighbourhood/rhondda-cynon-taf/glyncoch/,,26/03/2020 14:09:09,308b6356-7ba9-454a-9f9b-5361abde6fae,2020-03-26
"Goodwick, Pembrokeshire",52.004502,-4.996011,Goodwick Mutual Aid Group,https://www.facebook.com/groups/249992116163040/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Fishguard,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/fishguard/,FishguardNPT@dyfed-powys.pnn.police.uk,17/03/2020 10:12:43,91686920-41bc-464a-9a68-af982e6d56b3,2020-03-17
"Gower, Swansea ",51.5966706,-4.1698781,We are Gower COVID-19 Mutual Aid & Community Page ,https://www.facebook.com/groups/509317506645726/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Gower,https://www.south-wales.police.uk/en/neighbourhood/swansea/gower/,,16/03/2020 07:31:29,8d331e19-eca7-41e2-b4ef-a2c92da53b7b,2020-03-16
"Gower, Swansea ",51.5966706,-4.1698781,Gower Support Group - Francesca O’Brien ,https://www.facebook.com/groups/200096814588785/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Gower,https://www.south-wales.police.uk/en/neighbourhood/swansea/gower/,,22/03/2020 08:46:32,c4aa7d1c-ddd3-4edb-8fbc-d7a1a19a3bad,2020-03-22
"Grosmont, Wales",51.912533,-2.8673989,"Working Together, Grosmont",https://grosmont.wales/,VISIBLE,website,,Gwent Police,http://www.gwent.police.uk/,Crucorney,http://www.gwent.police.uk/nc/my-area/ward/MA/53/,abergavenny@gwent.pnn.police.uk,22/03/2020 13:57:25,0728c837-6287-4842-bbbb-41af9cf15252,2020-03-22
"Haverfordwest, Pembrokeshire",51.800475,-4.971319,Haverhelp During Coronavirus,https://www.facebook.com/groups/844894585984572/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Haverfordwest,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/haverfordwest/,HaverfordwestNPT@dyfed-powys.pnn.police.uk,26/03/2020 13:53:47,94ea9617-8275-4eb9-8467-063d06c6138c,2020-03-26
"Henllys, Cwmbran, South Wales",51.6363529,-3.0595134,Henllys COVID-19,https://www.facebook.com/groups/807440326429406/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Two Locks,http://www.gwent.police.uk/nc/my-area/ward/TC/126/,cwmbran@gwent.pnn.police.uk,21/03/2020 11:10:14,fda655ec-0644-475a-9b21-88943fd3f9b4,2020-03-21
