LSOA11CD,LSOA11NM,wimd_2019
W01001666,Newport 010B,102
W01001664,Newport 010A,146
W01000692,Carmarthenshire 019C,1188
W01000613,Pembrokeshire 001E,1031
W01000693,Carmarthenshire 008C,939
W01000612,Pembrokeshire 003C,1207
W01000610,Pembrokeshire 016A,1400
W01001508,Torfaen 013C,1534
W01001253,Rhondda Cynon Taf 023C,577
W01001604,Newport 012D,1657
W01000191,Denbighshire 009A,1002
W01000973,Neath Port Talbot 020F,372
W01001911,The Vale of Glamorgan 012H,452
W01001910,The Vale of Glamorgan 012G,350
W01001727,Cardiff 014A,1756
W01001726,Cardiff 028E,958
W01001937,Ceredigion 001F,1356
W01001934,Ceredigion 002F,1540
W01001936,Ceredigion 003F,1689
W01001724,Cardiff 032C,806
W01001935,Ceredigion 003E,1449
W01001416,Caerphilly 008C,1008
W01001932,Gwynedd 014E,952
W01001958,Swansea 025H,1034
W01000941,Neath Port Talbot 012B,328
W01000940,Neath Port Talbot 008E,261
W01000942,Neath Port Talbot 012C,199
W01000943,Neath Port Talbot 012D,1711
W01000597,Pembrokeshire 002E,1351
W01000853,Swansea 022A,1751
W01000855,Swansea 022C,1788
W01000852,Swansea 021D,749
W01000857,Swansea 022E,905
W01000854,Swansea 022B,1838
W01000850,Swansea 021B,484
W01001928,Conwy 010H,70
W01000841,Swansea 005C,842
W01001927,Conwy 010G,903
W01000132,Conwy 001A,726
W01000568,Pembrokeshire 005A,424
W01000569,Pembrokeshire 005B,1311
W01000561,Pembrokeshire 001D,1180
W01001518,Torfaen 006E,1659
W01001309,Merthyr Tydfil 008E,258
W01001388,Caerphilly 007D,405
W01001308,Merthyr Tydfil 008D,7
W01001389,Caerphilly 007E,918
W01001301,Merthyr Tydfil 008C,164
W01001380,Caerphilly 010A,1242
W01001300,Merthyr Tydfil 008B,106
W01001381,Caerphilly 010B,214
W01001232,Rhondda Cynon Taf 020D,539
W01001234,Rhondda Cynon Taf 021E,709
W01001235,Rhondda Cynon Taf 021F,480
W01001237,Rhondda Cynon Taf 022B,209
W01000961,Neath Port Talbot 016C,307
W01000097,Gwynedd 003D,901
W01000017,Isle of Anglesey 003B,486
W01000129,Conwy 012B,711
W01000016,Isle of Anglesey 003A,168
W01000121,Conwy 015A,1165
W01000128,Conwy 009C,1159
W01000122,Conwy 014A,1126
W01000123,Conwy 013A,902
W01000096,Gwynedd 003C,900
W01000014,Isle of Anglesey 006C,1194
W01000085,Gwynedd 017C,725
W01001096,The Vale of Glamorgan 007E,785
W01001014,Bridgend 002A,380
W01001097,The Vale of Glamorgan 007F,253
W01001017,Bridgend 002C,1150
W01001129,The Vale of Glamorgan 004F,993
W01001016,Bridgend 005C,988
W01001121,The Vale of Glamorgan 014E,863
W01001128,The Vale of Glamorgan 001C,1705
W01001095,The Vale of Glamorgan 007D,105
W01001094,The Vale of Glamorgan 007C,291
W01001024,Bridgend 003C,336
W01000527,Ceredigion 008A,1360
W01001009,Bridgend 004C,606
W01001536,Torfaen 009C,174
W01000559,Pembrokeshire 001B,880
W01000558,Pembrokeshire 001A,1148
W01001877,Cardiff 011A,1342
W01001874,Cardiff 038D,12
W01001876,Cardiff 037D,74
W01001875,Cardiff 037C,498
W01001872,Cardiff 038B,335
W01000721,Carmarthenshire 027C,1245
W01000720,Carmarthenshire 027B,1200
W01001636,Newport 020A,1774
W01001419,Caerphilly 021D,1172
W01001889,Cardiff 020B,1323
W01001808,Cardiff 007C,94
W01001442,Blaenau Gwent 001C,1462
W01001445,Blaenau Gwent 005C,716
W01001888,Cardiff 010A,1483
W01001809,Cardiff 017A,877
W01001443,Blaenau Gwent 005A,303
W01001781,Cardiff 026C,1531
W01001703,Cardiff 045B,104
W01001782,Cardiff 026D,1782
W01001783,Cardiff 026E,1840
W01001780,Cardiff 026B,1809
W01001558,Monmouthshire 002C,676
W01001559,Monmouthshire 008A,1490
W01001291,Merthyr Tydfil 003A,1080
W01001210,Rhondda Cynon Taf 008B,275
W01001213,Rhondda Cynon Taf 011A,579
W01001292,Merthyr Tydfil 004A,65
W01001212,Rhondda Cynon Taf 008D,356
W01001290,Merthyr Tydfil 007A,601
W01000980,Bridgend 016A,934
W01000901,Neath Port Talbot 014D,628
W01000811,Swansea 008B,309
W01000890,Neath Port Talbot 015B,1802
W01000810,Swansea 003D,95
W01000891,Neath Port Talbot 015C,783
W01000475,Powys 001E,1104
W01000474,Powys 020B,1241
W01000477,Powys 012D,1098
W01000590,Pembrokeshire 012B,933
W01000511,Ceredigion 009E,125
W01000476,Powys 005C,1577
W01000640,Carmarthenshire 007D,1792
W01000472,Powys 012C,1436
W01001749,Cardiff 027C,638
W01001748,Cardiff 027B,573
W01000641,Carmarthenshire 008A,418
W01000453,Powys 010B,1263
W01000452,Powys 004B,882
W01001901,Powys 017F,1579
W01000159,Conwy 014B,968
W01001329,Caerphilly 014C,720
W01000261,Flintshire 014C,1631
W01000260,Flintshire 017B,1629
W01000268,Flintshire 013B,1867
W01000269,Flintshire 020A,1244
W01001471,Blaenau Gwent 001E,211
W01001318,Merthyr Tydfil 005D,948
W01001170,Rhondda Cynon Taf 004D,1537
W01000306,Flintshire 002A,675
W01000387,Wrexham 008D,1849
W01000059,Gwynedd 006A,357
W01000051,Gwynedd 015A,1167
W01000050,Gwynedd 003A,855
W01000053,Gwynedd 004B,1320
W01000052,Gwynedd 004A,1606
W01000054,Gwynedd 007A,1394
W01000307,Flintshire 020B,1807
W01000386,Wrexham 015A,665
W01001957,Swansea 025G,492
W01001954,Cardiff 006F,1839
W01001956,Swansea 023E,1885
W01001955,Swansea 025F,36
W01001952,Cardiff 049F,547
W01001839,Cardiff 030E,827
W01001838,Cardiff 030D,1095
W01001894,Cardiff 010C,1732
W01001000,Bridgend 010B,1335
W01000229,Denbighshire 017E,587
W01001142,Rhondda Cynon Taf 005F,245
W01001247,Rhondda Cynon Taf 016C,481
W01001140,Rhondda Cynon Taf 005D,413
W01001242,Rhondda Cynon Taf 030D,1497
W01001141,Rhondda Cynon Taf 005E,288
W01000007,Isle of Anglesey 009A,1036
W01000223,Denbighshire 009B,1369
W01000222,Denbighshire 003C,1025
W01000220,Denbighshire 001C,780
W01000496,Powys 021B,847
W01000497,Powys 005D,1247
W01000417,Wrexham 020D,1805
W01000416,Wrexham 007D,1892
W01000414,Wrexham 010D,80
W01001398,Caerphilly 024A,1675
W01001855,Cardiff 042A,140
W01001852,Cardiff 004B,1800
W01001857,Cardiff 042C,66
W01001854,Cardiff 004D,1741
W01001856,Cardiff 042B,108
W01001179,Rhondda Cynon Taf 023B,175
W01001853,Cardiff 004C,1828
W01000443,Powys 015B,1461
W01001892,Cardiff 020D,1771
W01001080,The Vale of Glamorgan 012F,442
W01001582,Monmouthshire 011D,1295
W01001681,Newport 006B,119
W01000072,Gwynedd 002B,1502
W01000398,Wrexham 013A,1113
W01000319,Flintshire 016G,1085
W01000989,Bridgend 013A,1683
W01000621,Pembrokeshire 016D,892
W01000908,Neath Port Talbot 006E,1567
W01000620,Pembrokeshire 016C,1056
W01000909,Neath Port Talbot 009A,809
W01000542,Ceredigion 011F,689
W01000545,Ceredigion 007D,1055
W01000822,Swansea 009F,1230
W01001920,Bridgend 017G,1874
W01000346,Wrexham 018B,1290
W01001779,Cardiff 026A,1815
W01001909,Monmouthshire 002F,653
W01000082,Gwynedd 015C,991
W01001261,Rhondda Cynon Taf 018F,306
W01000258,Flintshire 006A,1372
W01001260,Rhondda Cynon Taf 014C,100
W01001028,Bridgend 014D,1226
W01000682,Carmarthenshire 005B,1215
W01001811,Cardiff 009A,63
W01001362,Caerphilly 003C,482
W01001152,Rhondda Cynon Taf 002B,1166
W01000325,Flintshire 010D,1772
W01000759,Swansea 012A,1539
W01000117,Gwynedd 017E,747
W01000656,Carmarthenshire 010A,636
W01001528,Torfaen 010D,674
W01000735,Carmarthenshire 027D,1268
W01001491,Torfaen 004A,375
W01000505,Powys 021E,821
W01000821,Swansea 009E,859
W01001263,Rhondda Cynon Taf 022E,839
W01001262,Rhondda Cynon Taf 022D,604
W01001272,Rhondda Cynon Taf 010D,560
W01000921,Neath Port Talbot 011B,38
W01000920,Neath Port Talbot 011A,398
W01000411,Wrexham 015C,454
W01000410,Wrexham 014D,997
W01001258,Rhondda Cynon Taf 019E,541
W01000379,Wrexham 004C,332
W01000378,Wrexham 004B,270
W01000371,Wrexham 008B,980
W01000370,Wrexham 020G,1778
W01000373,Wrexham 005B,465
W01001603,Newport 012C,838
W01000077,Gwynedd 001C,938
W01001132,The Vale of Glamorgan 008D,1835
W01001133,The Vale of Glamorgan 008E,1868
W01001134,The Vale of Glamorgan 008F,1727
W01001135,The Vale of Glamorgan 003C,1644
W01001136,The Vale of Glamorgan 003D,1692
W01001137,Rhondda Cynon Taf 005A,444
W01001168,Rhondda Cynon Taf 004B,695
W01001169,Rhondda Cynon Taf 004C,220
W01001160,Rhondda Cynon Taf 029A,1602
W01001161,Rhondda Cynon Taf 029B,1371
W01001165,Rhondda Cynon Taf 019B,737
W01001130,The Vale of Glamorgan 005F,1843
W01001162,Rhondda Cynon Taf 025A,501
W01001131,The Vale of Glamorgan 008C,850
W01001167,Rhondda Cynon Taf 016B,551
W01001164,Rhondda Cynon Taf 019A,813
W01001056,Bridgend 007D,949
W01001057,Bridgend 006B,431
W01001461,Blaenau Gwent 007F,440
W01000200,Denbighshire 008A,1471
W01000281,Flintshire 008D,1489
W01001948,Cardiff 006E,1900
W01000282,Flintshire 010C,1882
W01001941,Cardiff 032G,999
W01001940,Cardiff 048A,1691
W01001949,Cardiff 005F,1511
W01000529,Ceredigion 007A,858
W01000528,Ceredigion 008B,843
W01001495,Torfaen 008C,1376
W01000431,Powys 014A,1122
W01001542,Monmouthshire 009A,1505
W01001634,Newport 019B,588
W01001637,Newport 016B,1509
W01001538,Torfaen 009D,259
W01000430,Powys 015A,1319
W01001562,Monmouthshire 003B,959
W01001565,Monmouthshire 006D,1348
W01000088,Gwynedd 007B,1046
W01001564,Monmouthshire 003D,1106
W01001904,Powys 018G,1474
W01001539,Torfaen 009E,449
W01001563,Monmouthshire 003C,1488
W01000580,Pembrokeshire 009B,1555
W01000030,Isle of Anglesey 003D,353
W01000031,Isle of Anglesey 001E,864
W01000242,Denbighshire 014A,1041
W01000032,Isle of Anglesey 002D,1053
W01000033,Isle of Anglesey 003E,224
W01000034,Isle of Anglesey 004B,1196
W01000035,Isle of Anglesey 005E,1087
W01000245,Denbighshire 010A,1556
W01000036,Isle of Anglesey 003F,316
W01000037,Isle of Anglesey 003G,974
W01000038,Isle of Anglesey 009D,764
W01000039,Isle of Anglesey 004C,1409
W01000180,Conwy 008C,1769
W01000108,Gwynedd 012D,1078
W01000100,Gwynedd 010B,1395
W01001929,Wrexham 012F,488
W01000101,Gwynedd 013D,1338
W01000182,Conwy 007D,202
W01000181,Conwy 008D,1841
W01000183,Conwy 008E,1310
W01000103,Gwynedd 005D,1109
W01000827,Swansea 031E,1826
W01000189,Conwy 015F,914
W01000188,Conwy 002D,1457
W01001395,Caerphilly 023C,536
W01001922,Cardiff 032E,897
W01000131,Conwy 012D,1632
W01001206,Rhondda Cynon Taf 006C,474
W01001287,Rhondda Cynon Taf 014F,403
W01000276,Flintshire 008A,1573
W01000277,Flintshire 008B,1645
W01000444,Powys 002A,1545
W01001586,Monmouthshire 007D,1834
W01000564,Pembrokeshire 011C,1397
W01001601,Newport 006A,187
W01001921,Bridgend 017H,1585
W01000342,Wrexham 009B,542
W01001951,Cardiff 049E,1143
W01001436,Blaenau Gwent 008B,274
W01001437,Blaenau Gwent 008C,963
W01001434,Caerphilly 013F,1576
W01001435,Blaenau Gwent 008A,497
W01000541,Ceredigion 008E,916
W01001752,Cardiff 031B,1491
W01001279,Rhondda Cynon Taf 028F,149
W01001546,Monmouthshire 002A,377
W01001432,Caerphilly 013D,1292
W01001433,Caerphilly 013E,659
W01001430,Caerphilly 015B,887
W01001431,Caerphilly 015C,1083
W01000504,Powys 021D,117
W01000974,Bridgend 006A,1174
W01001545,Monmouthshire 001A,1622
W01000845,Swansea 001A,1653
W01000326,Flintshire 018B,1763
W01000197,Denbighshire 012C,1581
W01001438,Blaenau Gwent 004A,597
W01001439,Blaenau Gwent 004B,1176
W01001367,Caerphilly 019B,987
W01001543,Monmouthshire 009B,1613
W01001157,Rhondda Cynon Taf 028A,1460
W01001540,Torfaen 004E,1117
W01001541,Torfaen 004F,530
W01000582,Pembrokeshire 004A,873
W01001038,Bridgend 011C,924
W01001039,Bridgend 009E,1439
W01001757,Cardiff 025C,1285
W01000368,Wrexham 008A,1869
W01001900,Neath Port Talbot 020G,485
W01000151,Conwy 005C,540
W01000653,Carmarthenshire 023A,1144
W01001632,Newport 017D,630
W01001635,Newport 016A,1663
W01000652,Carmarthenshire 020B,528
W01000008,Isle of Anglesey 008A,1820
W01001906,Powys 001F,1038
W01001059,The Vale of Glamorgan 015A,1642
W01001058,Bridgend 006C,1381
W01001051,Bridgend 008E,771
W01001050,Bridgend 008D,479
W01001053,Bridgend 018E,1706
W01001052,Bridgend 008F,466
W01001055,Bridgend 007C,188
W01001054,Bridgend 018F,1779
W01001387,Caerphilly 007C,472
W01001306,Merthyr Tydfil 003D,1128
W01001348,Caerphilly 009A,394
W01001349,Caerphilly 009B,1731
W01001627,Newport 001E,1762
W01000438,Powys 012A,612
W01001368,Caerphilly 019C,453
W01000209,Denbighshire 016D,1058
W01000288,Flintshire 004A,320
W01000208,Denbighshire 016C,625
W01001226,Rhondda Cynon Taf 031F,1171
W01001227,Rhondda Cynon Taf 021C,1485
W01000240,Denbighshire 004E,1
W01000243,Denbighshire 014B,1447
W01001561,Monmouthshire 003A,1803
W01001560,Monmouthshire 006C,1391
W01001158,Rhondda Cynon Taf 028B,658
W01001860,Cardiff 034C,1246
W01001203,Rhondda Cynon Taf 009D,52
W01001282,Rhondda Cynon Taf 015C,344
W01001283,Rhondda Cynon Taf 015D,705
W01001202,Rhondda Cynon Taf 009C,120
W01000060,Gwynedd 015B,768
W01000063,Gwynedd 005A,663
W01000062,Gwynedd 001A,875
W01001281,Rhondda Cynon Taf 017F,791
W01000278,Flintshire 007D,225
W01000065,Gwynedd 009B,679
W01000279,Flintshire 008C,1468
W01000064,Gwynedd 002A,1016
W01000067,Gwynedd 016D,1222
W01000066,Gwynedd 010A,904
W01000109,Gwynedd 012E,1042
W01000271,Flintshire 006C,1352
W01000270,Flintshire 006B,1559
W01000068,Gwynedd 016E,1224
W01000061,Gwynedd 011B,1615
W01001587,Monmouthshire 008C,1004
W01000173,Conwy 003B,1599
W01000172,Conwy 013E,516
W01000175,Conwy 003D,1861
W01000174,Conwy 003C,1859
W01000177,Conwy 011E,1197
W01000176,Conwy 011D,759
W01000171,Conwy 013D,969
W01000170,Conwy 013C,1408
W01000115,Gwynedd 003E,1187
W01001392,Caerphilly 009D,1519
W01001868,Cardiff 022D,455
W01001522,Torfaen 007D,603
W01001425,Caerphilly 024D,1393
W01000297,Flintshire 003D,1208
W01001690,Newport 013D,317
W01001611,Newport 011A,834
W01001691,Newport 011D,161
W01001610,Newport 015C,393
W01000549,Ceredigion 001E,1604
W01000548,Ceredigion 001D,1266
W01001241,Rhondda Cynon Taf 026D,1129
W01001466,Blaenau Gwent 009C,250
W01001878,Cardiff 011B,965
W01001879,Cardiff 013A,180
W01001411,Caerphilly 017A,844
W01000502,Powys 021C,1198
W01001776,Cardiff 021C,1747
W01000846,Swansea 001B,820
W01001065,The Vale of Glamorgan 012B,814
W01001064,The Vale of Glamorgan 013B,186
W01001067,The Vale of Glamorgan 009A,195
W01001066,The Vale of Glamorgan 015D,733
W01001188,Rhondda Cynon Taf 001C,176
W01001109,The Vale of Glamorgan 011C,1363
W01001189,Rhondda Cynon Taf 029C,657
W01001108,The Vale of Glamorgan 014A,1429
W01001063,The Vale of Glamorgan 012A,690
W01001062,The Vale of Glamorgan 013A,1419
W01001773,Cardiff 012A,1592
W01000363,Wrexham 006D,1411
W01001903,Powys 018F,1479
W01000152,Conwy 005D,681
W01001620,Newport 003D,289
W01001177,Rhondda Cynon Taf 009B,471
W01000448,Powys 011B,1161
W01000047,Gwynedd 011A,1234
W01001084,The Vale of Glamorgan 002C,1786
W01000254,Flintshire 003B,568
W01000609,Pembrokeshire 014D,1538
W01001026,Bridgend 012D,517
W01000605,Pembrokeshire 013F,631
W01000157,Conwy 004C,610
W01001897,Powys 020D,1404
W01001004,Bridgend 009A,555
W01001866,Cardiff 016A,304
W01000078,Gwynedd 011C,800
W01001257,Rhondda Cynon Taf 019D,1423
W01001441,Blaenau Gwent 001B,235
W01000957,Neath Port Talbot 017D,132
W01000954,Neath Port Talbot 005C,1023
W01000956,Neath Port Talbot 004F,1646
W01001440,Blaenau Gwent 001A,595
W01000746,Swansea 025C,448
W01000955,Neath Port Talbot 004E,1333
W01000952,Neath Port Talbot 018D,607
W01001576,Monmouthshire 004D,995
W01000899,Neath Port Talbot 014B,1568
W01000818,Swansea 009B,467
W01001708,Cardiff 045D,91
W01000898,Neath Port Talbot 014A,909
W01000471,Powys 014E,1010
W01000470,Powys 001D,1313
W01000473,Powys 004C,1240
W01001211,Rhondda Cynon Taf 008C,429
W01000439,Powys 007B,1432
W01001317,Merthyr Tydfil 005C,457
W01000321,Flintshire 014D,1880
W01000450,Powys 014C,1307
W01000451,Powys 012B,1288
W01000831,Swansea 013D,147
W01000830,Swansea 011A,31
W01000833,Swansea 011C,48
W01000648,Carmarthenshire 006D,943
W01000649,Carmarthenshire 006E,1440
W01000303,Flintshire 018A,1866
W01000382,Wrexham 012B,333
W01000302,Flintshire 013F,1847
W01000383,Wrexham 020A,1384
W01000305,Flintshire 003F,983
W01000384,Wrexham 020B,1752
W01000304,Flintshire 003E,152
W01000385,Wrexham 014C,1737
W01000381,Wrexham 012A,509
W01000300,Flintshire 019B,1640
W01000629,Carmarthenshire 024B,583
W01000628,Carmarthenshire 024A,1070
W01000773,Swansea 005A,762
W01000772,Swansea 018A,1718
W01000775,Swansea 030A,1513
W01001516,Torfaen 006C,504
W01000770,Swansea 020C,1808
W01001597,Monmouthshire 006F,1842
W01001517,Torfaen 006D,1658
W01001746,Cardiff 041D,128
W01001747,Cardiff 027A,1510
W01000535,Ceredigion 008C,714
W01000534,Ceredigion 011B,1472
W01000532,Ceredigion 007B,1111
W01001950,Cardiff 049D,1725
W01001953,Cardiff 005G,1191
W01000567,Pembrokeshire 002D,927
W01000566,Pembrokeshire 002C,936
W01001505,Torfaen 013B,1383
W01001250,Rhondda Cynon Taf 024B,805
W01001311,Merthyr Tydfil 002F,688
W01000256,Flintshire 015B,1455
W01001172,Rhondda Cynon Taf 020A,853
W01000442,Powys 004A,1097
W01001003,Bridgend 015D,1459
W01001275,Rhondda Cynon Taf 013C,198
W01001502,Torfaen 011E,1597
W01000119,Gwynedd 004D,1564
W01000751,Swansea 002B,1714
W01001496,Torfaen 004B,208
W01001828,Cardiff 024D,1656
W01001460,Blaenau Gwent 007E,532
W01001712,Cardiff 040D,1062
W01001793,Cardiff 002A,1854
